Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
0.23,0.0,244.27,1.0,0.0,0.0,0.0
1.448,0.192,238.8,6.0,0.0,0.0,18.0
0.296,0.088,243.0,1.2,0.0,0.0,0.0
1.768,0.44,239.72,7.6,0.0,0.0,18.0
2.362,0.064,236.86,10.0,0.0,0.0,0.0
0.62,0.184,238.75,2.8,0.0,1.0,0.0
0.23,0.0,245.66,1.0,0.0,0.0,0.0
2.03,0.234,237.14,8.6,0.0,2.0,17.0
0.216,0.0,242.08,1.0,0.0,0.0,0.0
0.404,0.232,240.54,1.8,0.0,2.0,0.0
0.362,0.088,243.18,1.6,0.0,0.0,0.0
1.448,0.096,241.24,6.0,0.0,0.0,18.0
0.94,0.132,241.29,4.0,0.0,0.0,0.0
1.404,0.224,238.84,6.0,0.0,1.0,17.0
0.79,0.088,240.58,3.2,0.0,0.0,0.0
0.418,0.242,241.44,2.0,0.0,1.0,0.0
1.088,0.106,239.15,4.6,0.0,0.0,0.0
1.362,0.058,236.41,5.6,0.0,0.0,17.0
0.412,0.234,238.94,2.0,0.0,1.0,0.0
1.502,0.238,239.33,6.2,0.0,1.0,17.0
0.348,0.0,241.11,1.6,2.0,0.0,0.0
0.94,0.262,241.09,4.2,0.0,1.0,0.0
0.328,0.102,245.32,1.4,0.0,1.0,0.0
1.76,0.312,239.45,7.6,0.0,1.0,18.0
1.388,0.062,241.54,5.8,0.0,0.0,18.0
1.538,0.102,238.48,6.4,0.0,0.0,18.0
5.544,0.104,240.68,23.2,39.0,30.0,18.0
0.388,0.184,242.27,1.8,0.0,0.0,0.0
1.338,0.05,241.74,5.4,0.0,0.0,18.0
0.318,0.118,242.41,1.4,0.0,0.0,0.0
0.206,0.0,244.37,0.8,0.0,0.0,0.0
1.718,0.336,237.75,7.2,0.0,0.0,17.0
3.416,0.066,238.68,14.2,0.0,0.0,18.0
0.296,0.0,238.99,1.4,0.0,0.0,0.0
1.272,0.0,239.63,5.2,0.0,0.0,18.0
1.578,0.076,238.2,6.6,0.0,0.0,18.0
0.314,0.106,239.4,1.4,0.0,0.0,0.0
0.37,0.204,240.7,1.8,0.0,1.0,0.0
0.32,0.132,243.38,1.4,0.0,2.0,0.0
1.366,0.0,239.05,5.6,0.0,0.0,18.0
0.328,0.138,245.45,1.4,0.0,0.0,0.0
0.23,0.0,242.56,1.0,0.0,0.0,0.0
0.294,0.082,240.65,1.2,0.0,0.0,0.0
0.546,0.114,238.91,2.6,0.0,0.0,0.0
0.382,0.144,243.51,1.8,0.0,2.0,0.0
1.536,0.122,239.42,6.4,0.0,1.0,17.0
3.48,0.238,239.53,14.4,2.0,1.0,18.0
1.588,0.178,237.83,6.6,0.0,1.0,17.0
1.494,0.218,242.82,6.2,0.0,1.0,18.0
1.346,0.082,238.71,5.6,0.0,0.0,18.0
1.416,0.08,241.72,5.8,0.0,1.0,18.0
0.298,0.102,242.39,1.2,0.0,0.0,0.0
0.396,0.224,243.92,1.8,0.0,0.0,0.0
1.5,0.272,239.79,6.2,0.0,1.0,18.0
0.408,0.102,241.97,1.6,0.0,0.0,0.0
1.392,0.158,240.69,5.8,0.0,0.0,18.0
1.364,0.0,243.38,5.6,0.0,0.0,19.0
0.69,0.11,240.66,3.6,0.0,0.0,7.0
0.974,0.0,242.48,4.0,0.0,1.0,0.0
1.28,0.128,239.37,5.2,0.0,16.0,0.0
3.526,0.21,239.88,14.6,0.0,2.0,17.0
0.492,0.092,238.85,2.4,0.0,1.0,0.0
0.392,0.214,242.96,1.8,0.0,1.0,0.0
0.396,0.23,238.4,1.8,0.0,2.0,0.0
0.29,0.108,241.41,1.2,0.0,1.0,0.0
0.284,0.098,238.47,1.2,0.0,1.0,0.0
1.814,0.222,241.25,7.6,0.0,2.0,17.0
1.374,0.102,239.88,5.6,0.0,0.0,17.0
0.368,0.194,236.9,1.8,0.0,1.0,0.0
0.298,0.104,240.32,1.2,0.0,1.0,0.0
0.398,0.23,238.7,1.8,0.0,2.0,0.0
0.296,0.114,242.82,1.2,0.0,1.0,0.0
0.39,0.236,240.25,1.8,0.0,1.0,0.0
0.286,0.102,239.73,1.2,0.0,1.0,0.0
0.456,0.344,240.78,2.4,0.0,2.0,0.0
1.326,0.086,237.99,5.6,0.0,1.0,18.0
0.314,0.178,243.33,1.4,0.0,0.0,0.0
0.236,0.102,241.41,1.0,0.0,0.0,0.0
0.31,0.186,244.18,1.6,0.0,0.0,0.0
0.31,0.228,240.35,1.6,0.0,0.0,0.0
1.5,0.336,237.77,6.6,0.0,0.0,0.0
0.344,0.258,242.07,1.8,0.0,2.0,0.0
0.49,0.0,241.92,2.0,0.0,0.0,0.0
1.212,0.0,238.81,5.0,0.0,0.0,17.0
0.13,0.0,241.89,0.6,0.0,0.0,0.0
0.298,0.228,239.0,1.6,0.0,0.0,0.0
0.118,0.0,242.67,0.6,0.0,0.0,0.0
0.544,0.332,242.94,2.8,1.0,2.0,0.0
0.504,0.354,240.65,2.8,0.0,1.0,0.0
1.986,0.44,240.66,8.4,1.0,0.0,17.0
0.482,0.228,240.62,2.4,0.0,1.0,0.0
0.198,0.082,235.66,0.8,0.0,2.0,0.0
0.24,0.074,239.46,1.0,0.0,0.0,0.0
1.162,0.05,234.62,4.8,0.0,0.0,17.0
0.258,0.11,238.64,1.2,0.0,1.0,0.0
1.67,0.082,233.33,7.2,0.0,2.0,17.0
0.212,0.104,238.56,1.0,0.0,0.0,0.0
0.394,0.0,232.95,2.2,0.0,0.0,0.0
0.108,0.0,236.97,0.6,0.0,0.0,0.0
1.192,0.0,234.38,5.0,0.0,0.0,17.0
1.368,0.086,233.05,5.8,0.0,1.0,0.0
0.8540000000000001,0.113,235.185,3.7,0.0,0.5,0.0
0.5970000000000001,0.1265,236.2525,2.6500000000000004,0.0,0.25,0.0
0.4685,0.13325,236.78625,2.125,0.0,0.125,0.0
0.40425,0.136625,237.053125,1.8625,0.0,0.0625,0.0
0.37212500000000004,0.1383125,237.18656249999998,1.7312500000000002,0.0,0.03125,0.0
0.34,0.14,237.32,1.6,0.0,0.0,0.0
1.886,0.058,234.03,8.0,0.0,0.0,17.0
0.478,0.188,239.3,2.4,0.0,0.0,0.0
0.264,0.198,234.79,1.4,0.0,1.0,0.0
3.226,0.138,233.77,13.8,1.0,36.0,0.0
0.11,0.0,235.11,0.6,0.0,0.0,0.0
0.21,0.11,239.29,1.0,0.0,0.0,0.0
0.216,0.11,234.52,1.0,0.0,0.0,0.0
0.26,0.154,241.0,1.2,1.0,1.0,0.0
0.478,0.21,236.46,2.2,0.0,0.0,0.0
2.712,0.076,232.21,12.2,0.0,0.0,17.0
0.548,0.09,232.59,2.6,0.0,1.0,0.0
1.236,0.054,237.04,5.2,0.0,0.0,17.0
1.386,0.186,233.51,6.0,0.0,0.0,17.0
0.828,0.13,234.36,3.6,0.0,1.0,0.0
5.874,0.096,229.66,25.8,50.0,29.0,16.0
0.284,0.198,235.11,1.4,0.0,0.0,0.0
0.188,0.0,235.57,0.8,0.0,1.0,0.0
0.184,0.088,235.43,0.8,0.0,1.0,0.0
0.222,0.12,236.49,1.0,0.0,0.0,0.0
0.192,0.0,235.79,0.8,0.0,0.0,0.0
0.322,0.188,234.29,1.6,0.0,1.0,0.0
1.256,0.086,236.1,5.2,0.0,0.0,17.0
0.322,0.218,235.92,1.6,0.0,0.0,0.0
0.398,0.12,239.38,1.6,0.0,0.0,0.0
1.556,0.228,232.27,6.6,0.0,2.0,17.0
0.316,0.13,238.52,1.4,0.0,0.0,0.0
0.298,0.192,237.46,1.6,0.0,0.0,0.0
0.516,0.286,235.99,2.4,0.0,1.0,0.0
0.274,0.0,233.65,1.2,0.0,0.0,0.0
1.258,0.056,238.27,5.2,0.0,0.0,18.0
1.406,0.076,234.98,6.0,0.0,0.0,17.0
0.324,0.12,238.18,1.4,0.0,0.0,0.0
0.42,0.222,236.42,2.0,0.0,2.0,0.0
0.562,0.0,237.66,2.8,0.0,0.0,2.0
0.24,0.066,237.08,1.0,0.0,0.0,0.0
0.3,0.056,237.19,1.2,0.0,0.0,0.0
0.556,0.058,232.55,2.6,0.0,0.0,0.0
1.324,0.064,233.8,5.6,0.0,0.0,17.0
1.576,0.184,233.6,6.8,0.0,1.0,0.0
1.448,0.168,238.15,6.0,0.0,0.0,18.0
1.198,0.052,230.96,5.2,0.0,0.0,17.0
0.206,0.052,236.37,0.8,0.0,0.0,0.0
0.206,0.052,235.81,0.8,0.0,0.0,0.0
0.276,0.05,237.78,1.2,0.0,0.0,0.0
1.566,0.278,230.71,6.8,0.0,0.0,16.0
0.326,0.104,238.97,1.6,0.0,2.0,0.0
0.218,0.0,235.46,1.0,0.0,0.0,0.0
0.324,0.082,239.08,1.4,0.0,0.0,0.0
0.25,0.0,235.57,1.2,0.0,0.0,0.0
0.226,0.0,240.91,1.0,0.0,0.0,0.0
2.486,0.1,236.78,10.4,0.0,35.0,0.0
0.496,0.112,237.42,2.0,0.0,0.0,0.0
0.79,0.276,232.38,4.0,0.0,3.0,0.0
0.308,0.0,235.62,1.2,0.0,0.0,0.0
1.242,0.074,232.72,5.2,0.0,0.0,17.0
0.298,0.046,235.51,1.2,0.0,0.0,0.0
0.854,0.084,235.57,3.8,0.0,2.0,0.0
0.304,0.072,235.2,1.2,0.0,0.0,0.0
1.558,0.228,235.01,6.6,0.0,0.0,17.0
1.234,0.07,235.32,5.2,0.0,0.0,17.0
0.472,0.284,236.2,2.4,0.0,2.0,0.0
0.408,0.196,236.96,1.8,0.0,2.0,0.0
1.224,0.046,233.75,5.2,0.0,0.0,17.0
0.22,0.0,238.0,1.0,0.0,0.0,0.0
1.68,0.048,231.11,8.4,27.0,0.0,0.0
0.4,0.092,239.42,1.6,0.0,0.0,0.0
1.748,0.49,232.18,7.8,1.0,1.0,16.0
0.544,0.242,237.19,2.4,0.0,4.0,0.0
0.264,0.094,235.99,1.2,0.0,1.0,0.0
0.6,0.404,240.76,3.0,0.0,2.0,0.0
0.312,0.128,234.49,1.4,0.0,2.0,0.0
1.378,0.056,239.41,5.6,1.0,0.0,17.0
0.772,0.198,234.77,3.4,0.0,0.0,0.0
0.318,0.168,235.89,1.4,0.0,1.0,0.0
0.308,0.138,232.71,1.4,0.0,0.0,0.0
0.44,0.296,238.89,2.2,0.0,1.0,0.0
1.428,0.196,233.58,6.2,0.0,2.0,17.0
1.348,0.0,243.38,5.4,0.0,0.0,0.0
0.574,0.332,241.91,2.6,0.0,1.0,0.0
0.426,0.098,243.23,1.8,0.0,0.0,0.0
1.32,0.0,240.84,5.4,0.0,1.0,18.0
0.63,0.132,244.01,2.6,0.0,0.0,0.0
0.372,0.358,241.19,2.0,0.0,1.0,0.0
0.43,0.382,244.01,2.2,0.0,1.0,0.0
0.344,0.0,240.64,1.8,0.0,0.0,0.0
0.264,0.212,238.58,1.4,0.0,1.0,0.0
0.272,0.132,241.93,1.2,0.0,1.0,0.0
0.194,0.102,238.36,0.8,0.0,0.0,0.0
0.204,0.116,239.95,1.0,0.0,1.0,0.0
2.384,0.246,240.6,10.0,1.0,18.0,18.0
0.186,0.126,241.3,1.0,0.0,1.0,0.0
0.304,0.23,242.86,1.4,0.0,1.0,0.0
1.544,0.35,239.17,6.6,0.0,1.0,18.0
1.972,0.066,241.25,8.2,0.0,1.0,18.0
1.796,0.272,237.58,7.6,0.0,5.0,18.0
0.19,0.116,238.07,0.8,0.0,2.0,0.0
0.244,0.232,241.5,1.4,0.0,1.0,0.0
0.258,0.0,244.78,1.0,0.0,0.0,0.0
0.32,0.072,240.56,1.4,0.0,0.0,0.0
0.24,0.122,244.78,1.0,0.0,0.0,0.0
0.352,0.062,238.88,1.8,0.0,0.0,0.0
0.348,0.338,242.07,2.0,0.0,1.0,0.0
0.212,0.12,238.81,1.0,0.0,0.0,0.0
0.302,0.258,242.88,1.6,0.0,1.0,0.0
0.188,0.116,240.08,0.8,0.0,1.0,0.0
0.12,0.0,240.16,0.6,0.0,0.0,0.0
0.366,0.344,239.07,2.0,0.0,1.0,0.0
0.234,0.128,242.35,1.0,0.0,0.0,0.0
0.28,0.206,239.0,1.4,0.0,1.0,0.0
0.86,0.0,242.52,3.6,0.0,0.0,0.0
0.184,0.086,239.74,0.8,0.0,1.0,0.0
0.466,0.108,237.93,2.4,0.0,1.0,0.0
0.28,0.204,238.71,1.4,0.0,1.0,0.0
0.232,0.1,243.33,1.0,0.0,0.0,0.0
0.224,0.11,237.68,1.0,0.0,0.0,0.0
0.348,0.208,239.05,1.6,0.0,1.0,0.0
1.184,0.0,236.37,5.0,0.0,0.0,17.0
0.37,0.206,239.58,1.8,0.0,1.0,0.0
1.346,0.226,239.45,5.6,0.0,1.0,17.0
0.222,0.11,243.19,1.0,0.0,1.0,0.0
0.262,0.102,239.48,1.2,0.0,0.0,0.0
2.744,0.35,239.09,11.6,0.0,1.0,18.0
1.354,0.176,238.46,5.6,0.0,1.0,17.0
0.272,0.19,242.47,1.4,0.0,1.0,0.0
0.334,0.27,239.6,1.8,0.0,1.0,0.0
0.29,0.096,240.81,1.4,0.0,0.0,0.0
0.264,0.082,238.7,1.2,0.0,0.0,0.0
0.472,0.3,244.26,2.2,1.0,1.0,0.0
0.396,0.318,237.85,2.0,0.0,1.0,0.0
0.394,0.38,241.94,2.2,0.0,1.0,0.0
0.216,0.068,238.76,1.2,0.0,0.0,0.0
2.582,0.206,239.0,10.8,38.0,1.0,0.0
0.126,0.0,238.53,0.6,0.0,0.0,0.0
4.094,0.0,238.92,17.0,0.0,1.0,0.0
0.502,0.084,237.94,2.0,0.0,1.0,0.0
0.212,0.0,238.03,0.8,0.0,0.0,0.0
0.536,0.206,239.58,2.4,1.0,3.0,0.0
1.828,0.092,240.5,7.6,0.0,0.0,18.0
1.3,0.072,240.6,5.4,0.0,1.0,17.0
4.286,0.088,239.76,17.8,38.0,0.0,17.0
0.13,0.0,238.51,0.6,0.0,0.0,0.0
0.468,0.172,243.23,2.0,0.0,4.0,0.0
0.294,0.222,237.97,1.6,0.0,1.0,0.0
0.214,0.116,245.21,1.0,0.0,2.0,0.0
0.308,0.234,239.86,1.6,0.0,1.0,0.0
0.35,0.27,245.5,1.8,0.0,2.0,0.0
0.142,0.0,240.18,0.6,0.0,0.0,0.0
0.336,0.066,243.33,1.4,0.0,0.0,0.0
1.38,0.214,241.53,5.8,0.0,0.0,18.0
0.312,0.218,240.74,1.6,0.0,0.0,0.0
0.244,0.11,239.84,1.0,0.0,0.0,0.0
1.282,0.09,240.93,5.2,0.0,1.0,18.0
0.232,0.096,233.83,1.0,0.0,1.0,0.0
0.13,0.0,237.58,0.6,0.0,0.0,0.0
0.274,0.17,231.48,1.4,0.0,0.0,0.0
0.224,0.096,238.55,1.0,0.0,0.0,0.0
0.116,0.0,226.79,0.6,0.0,0.0,0.0
0.214,0.098,234.01,1.0,0.0,0.0,0.0
0.214,0.098,234.22,1.0,0.0,0.0,0.0
0.182,0.0,237.82,0.8,0.0,0.0,0.0
0.234,0.0,236.36,1.2,0.0,0.0,0.0
0.208,0.086,236.03,1.0,0.0,0.0,0.0
1.17,0.052,231.24,5.0,0.0,0.0,16.0
1.306,0.102,235.77,5.4,2.0,0.0,17.0
3.726,0.394,231.88,16.0,37.0,0.0,17.0
0.3,0.212,237.45,1.6,0.0,0.0,0.0
3.032,0.116,230.9,13.6,2.0,26.0,17.0
0.116,0.0,238.73,0.6,0.0,0.0,0.0
0.222,0.108,234.04,1.0,0.0,0.0,0.0
1.602,0.0,235.12,7.6,0.0,26.0,0.0
0.222,0.112,235.31,1.0,0.0,0.0,0.0
0.128,0.0,237.98,0.6,0.0,0.0,0.0
0.152,0.0,234.0,0.8,0.0,0.0,0.0
0.238,0.0,238.36,1.0,0.0,0.0,0.0
0.284,0.196,234.12,1.4,0.0,0.0,0.0
1.224,0.08,236.01,5.2,0.0,0.0,17.0
0.696,0.17,232.81,3.0,0.0,0.0,0.0
0.102,0.0,237.0,0.4,0.0,0.0,0.0
0.2,0.108,231.14,1.0,0.0,0.0,0.0
0.104,0.0,238.96,0.4,0.0,0.0,0.0
0.1,0.0,233.67,0.4,0.0,0.0,0.0
1.176,0.0,238.07,4.8,0.0,0.0,18.0
0.326,0.21,232.81,1.6,0.0,0.0,0.0
0.102,0.0,235.86,0.4,0.0,0.0,0.0
1.264,0.094,232.24,5.4,0.0,0.0,17.0
0.102,0.0,236.86,0.4,0.0,0.0,0.0
1.572,0.114,232.2,6.8,0.0,0.0,17.0
1.716,0.142,235.41,7.2,0.0,0.0,17.0
1.268,0.082,231.41,5.4,2.0,0.0,16.0
1.812,0.196,232.88,7.8,0.0,0.0,0.0
1.478,0.0,234.31,6.4,0.0,0.0,17.0
2.792,0.0,229.4,12.0,0.0,0.0,16.0
1.508,0.22,234.25,6.4,0.0,0.0,16.0
0.206,0.122,235.95,1.0,0.0,0.0,0.0
1.296,0.188,233.5,5.6,0.0,0.0,17.0
3.328,0.08,232.73,14.2,0.0,0.0,17.0
1.166,0.0,231.48,5.0,0.0,1.0,16.0
1.472,0.092,231.82,6.2,0.0,0.0,0.0
1.16,0.0,234.35,4.8,0.0,0.0,16.0
3.966,0.0,233.05,17.0,0.0,35.0,0.0
3.15,0.0,230.53,13.6,0.0,34.0,17.0
0.27,0.218,235.57,1.4,0.0,0.0,0.0
1.196,0.098,232.7,5.0,0.0,0.0,16.0
2.096,0.138,232.83,9.0,0.0,1.0,17.0
1.258,0.1,234.29,5.4,0.0,1.0,17.0
1.78,0.068,235.09,7.4,0.0,0.0,0.0
1.124,0.0,235.14,4.8,0.0,0.0,17.0
3.204,0.182,233.18,13.6,0.0,4.0,17.0
1.11,0.0,233.34,4.6,0.0,0.0,17.0
2.204,0.0,236.25,9.2,0.0,0.0,17.0
1.25,0.102,234.44,5.2,0.0,0.0,17.0
2.05,0.224,238.17,8.6,0.0,4.0,0.0
2.166,0.306,237.89,9.4,0.0,4.0,17.0
2.27,0.142,238.19,9.4,0.0,0.0,0.0
1.252,0.12,238.95,5.2,0.0,0.0,18.0
3.038,0.136,237.27,12.8,0.0,0.0,18.0
0.198,0.134,241.12,1.0,0.0,0.0,0.0
0.182,0.108,241.9,0.8,0.0,0.0,0.0
0.174,0.102,240.1,0.8,0.0,0.0,0.0
0.208,0.13,240.27,1.2,0.0,0.0,0.0
0.2,0.13,239.73,1.0,0.0,0.0,0.0
0.204,0.114,240.48,1.0,0.0,0.0,0.0
0.118,0.0,242.05,0.6,0.0,0.0,0.0
